id,time,city,residence_MOM,residence_YOY,residence_FBI,commercial_residence_MOM,commercial_residence_YOY,commercial_residence_FBI,second_hand_MOM,second_hand_YOY,second_hand_FBI
57,2011年01月,泸州,99.5,101.8,100.1,99.5,101.8,100.1,99.7,98.6,98.6
58,2011年01月,蚌埠,100.1,106.3,102.1,100.1,106.3,102.1,100.2,106.7,103.0
59,2011年01月,南宁,101.3,102.4,101.6,101.3,102.4,101.6,100.3,103.6,101.7
60,2011年01月,宁波,100.1,103.7,101.5,100.1,103.7,101.5,100.2,97.1,98.7
61,2011年01月,兰州,101.2,111.8,106.8,101.2,111.8,106.8,100.0,116.0,108.8
62,2011年01月,银川,100.8,102.9,101.4,100.9,102.9,101.4,100.0,103.3,100.6
63,2011年01月,三亚,100.4,119.1,100.8,100.4,119.1,100.8,100.7,114.8,102.4
64,2011年01月,遵义,101.0,104.6,103.4,101.2,104.6,103.4,101.1,111.7,106.8
65,2011年01月,扬州,101.0,104.9,102.8,101.1,104.9,102.8,100.5,105.2,102.8
66,2011年01月,贵阳,100.2,104.7,102.6,100.2,104.7,102.6,100.5,107.4,104.3
67,2011年01月,牡丹江,101.5,109.9,106.4,101.5,109.9,106.4,103.3,111.1,105.4
68,2011年01月,赣州,101.0,112.3,106.5,101.0,112.3,106.5,100.6,102.8,101.3
69,2011年01月,徐州,101.0,103.4,101.8,101.0,103.4,101.8,100.4,100.8,100.5
70,2011年01月,广州,101.7,100.1,102.7,101.7,100.1,102.7,101.2,102.9,102.3
71,2011年02月,泉州,100.5,100.0,100.2,100.5,100.0,100.2,100.0,100.0,100.0
72,2011年02月,厦门,101.4,106.4,105.3,101.4,106.4,105.3,100.0,100.9,100.6
73,2011年02月,福州,101.5,105.2,103.3,101.5,105.2,103.3,101.7,102.3,102.3
74,2011年02月,西安,100.4,105.8,102.6,100.4,105.8,102.6,100.0,105.0,103.0
75,2011年02月,长春,99.6,106.8,102.2,99.6,106.8,102.2,100.1,100.8,100.8
76,2011年02月,上海,100.9,102.3,101.8,101.1,102.3,101.8,100.4,102.0,101.0
77,2011年02月,长沙,100.9,108.9,106.1,100.9,108.9,106.1,100.0,101.3,101.1
78,2011年02月,南昌,101.0,109.6,106.8,101.0,109.6,106.8,100.5,103.8,103.0
79,2011年02月,吉林,100.0,109.2,105.7,100.0,109.2,105.7,100.0,105.3,102.1
80,2011年02月,包头,100.5,108.5,104.4,100.6,108.5,104.4,100.0,100.8,100.8
81,2011年02月,呼和浩特,100.6,106.9,103.4,100.7,106.9,103.4,100.2,102.9,102.1
82,2011年02月,岳阳,99.4,112.1,108.3,99.0,112.1,108.3,100.0,112.9,108.3
83,2011年02月,桂林,100.5,106.1,105.0,100.5,106.1,105.0,98.3,101.6,101.4
84,2011年02月,济宁,100.3,104.6,103.2,100.3,104.6,103.2,100.3,107.5,106.3
85,2011年02月,常德,100.5,106.3,104.6,100.5,106.3,104.6,100.4,107.8,104.8
86,2011年02月,大理,100.0,102.2,101.1,100.0,102.2,101.1,100.0,105.8,104.6
87,2011年02月,沈阳,100.0,108.6,104.2,100.0,108.6,104.2,100.6,107.9,103.6
88,2011年02月,平顶山,101.0,106.8,105.1,101.0,106.8,105.1,101.3,103.9,103.9
89,2011年02月,湛江,100.9,106.2,103.8,100.9,106.2,103.8,100.2,108.8,104.3
90,2011年02月,武汉,100.5,106.4,103.1,100.5,106.4,103.1,100.2,104.7,102.3
91,2011年02月,太原,99.6,101.6,100.4,99.6,101.6,100.4,100.6,106.1,102.8
92,2011年02月,温州,100.0,101.1,100.3,100.0,101.1,100.3,100.9,119.7,109.6
93,2011年02月,丹东,100.2,114.3,108.4,100.2,114.3,108.4,100.2,102.8,101.5
94,2011年02月,北京,100.4,106.8,102.8,100.5,106.8,102.8,100.4,102.9,101.5
95,2011年02月,杭州,100.8,101.6,100.9,100.9,101.6,100.9,100.2,104.6,101.7
96,2011年02月,烟台,100.6,105.5,103.7,100.6,105.5,103.7,100.6,103.8,102.7
97,2011年02月,石家庄,100.2,111.5,106.5,100.2,111.5,106.5,100.1,103.8,102.0
98,2011年02月,北海,100.8,104.5,101.9,100.8,104.5,101.9,102.0,102.2,101.9
99,2011年02月,惠州,100.5,104.6,103.4,100.5,104.6,103.4,100.8,103.5,104.3
100,2011年02月,无锡,99.9,102.9,101.8,100.0,102.9,101.8,100.8,103.9,102.8
101,2011年02月,九江,100.6,104.7,102.9,100.6,104.7,102.9,100.4,106.1,104.0
102,2011年02月,青岛,99.6,104.6,102.8,99.6,104.6,102.8,100.0,105.9,103.1
103,2011年02月,锦州,100.5,107.5,104.1,100.5,107.5,104.1,100.0,100.3,100.2
104,2011年02月,安庆,100.0,109.5,104.4,100.0,109.5,104.4,100.2,104.5,103.0
105,2011年02月,南京,100.5,103.7,101.3,100.7,103.7,101.3,100.5,100.0,100.8
106,2011年02月,南充,99.6,99.3,99.0,99.6,99.3,99.0,100.0,101.7,101.6
107,2011年02月,韶关,100.5,104.8,104.2,100.5,104.8,104.2,100.1,101.2,100.9
108,2011年02月,襄樊,100.9,109.3,105.3,100.9,109.3,105.3,100.1,106.5,104.1
109,2011年02月,郑州,101.4,110.3,106.0,101.5,110.3,106.0,100.1,107.9,104.1
110,2011年02月,宜昌,100.1,105.9,102.3,100.1,105.9,102.3,100.1,101.8,101.7
111,2011年02月,海口,100.2,104.2,102.7,100.2,104.2,102.7,100.0,90.6,97.7
112,2011年02月,哈尔滨,99.4,106.6,103.0,99.4,106.6,103.0,100.0,103.0,101.8
113,2011年02月,济南,100.4,105.7,103.0,100.4,105.7,103.0,100.2,102.7,102.2
114,2011年02月,天津,100.9,106.7,103.9,101.0,106.7,103.9,100.3,103.4,101.8
115,2011年02月,合肥,100.5,105.1,102.4,100.6,105.1,102.4,100.0,105.7,102.7
116,2011年02月,成都,100.5,104.9,103.5,100.5,104.9,103.5,100.3,102.4,102.0
117,2011年02月,乌鲁木齐,101.1,109.7,106.7,101.1,109.7,106.7,100.4,109.7,106.4
118,2011年02月,洛阳,101.1,106.6,105.3,101.1,106.6,105.3,100.6,108.7,104.1
119,2011年02月,大连,100.4,106.8,103.7,100.4,106.8,103.7,100.6,107.0,103.3
120,2011年02月,金华,100.2,107.8,102.6,100.2,107.8,102.6,100.2,102.9,100.1
121,2011年02月,昆明,100.5,107.8,105.1,100.6,107.8,105.1,100.3,104.4,102.9
122,2011年02月,西宁,100.3,109.5,105.4,100.3,109.5,105.4,100.5,107.8,105.3
123,2011年02月,重庆,100.4,106.2,103.8,100.4,106.2,103.8,100.0,101.3,100.6
124,2011年02月,唐山,100.1,102.2,101.2,100.1,102.2,101.2,100.2,102.6,102.5
125,2011年02月,秦皇岛,100.7,111.1,106.6,100.8,111.1,106.6,99.9,104.0,101.9
126,2011年02月,深圳,101.0,103.2,103.2,101.0,103.2,103.2,102.6,104.5,104.2
127,2011年02月,泸州,100.3,101.4,100.4,100.3,101.4,100.4,100.3,98.4,98.9
128,2011年02月,蚌埠,101.0,104.9,103.1,101.0,104.9,103.1,100.4,106.9,103.3
129,2011年02月,南宁,99.9,101.6,101.5,99.9,101.6,101.5,100.4,103.7,102.1
130,2011年02月,宁波,100.4,104.1,101.9,100.5,104.1,101.9,99.9,97.1,98.6
131,2011年02月,兰州,100.4,111.4,107.2,100.4,111.4,107.2,100.0,114.6,108.8
132,2011年02月,银川,99.8,102.6,101.2,99.7,102.6,101.2,100.1,102.9,100.7
133,2011年02月,三亚,100.4,100.2,101.2,100.4,100.2,101.2,99.2,102.2,101.6
134,2011年02月,遵义,101.0,105.3,104.4,101.1,105.3,104.4,100.8,111.8,107.6
135,2011年02月,扬州,100.8,105.3,103.6,100.8,105.3,103.6,100.1,105.3,102.9
136,2011年02月,贵阳,100.6,105.0,103.2,100.6,105.0,103.2,100.3,107.4,104.6
137,2011年02月,牡丹江,100.7,110.3,107.1,100.7,110.3,107.1,101.1,111.1,106.5
138,2011年02月,赣州,100.1,109.9,106.7,100.1,109.9,106.7,100.3,102.8,101.5
139,2011年02月,徐州,100.4,103.7,102.3,100.5,103.7,102.3,100.4,101.2,100.9
140,2011年02月,广州,100.6,100.6,103.3,100.6,100.6,103.3,100.6,103.4,102.9
141,2011年03月,泉州,100.6,100.0,100.7,100.6,100.0,100.7,100.0,100.0,100.1
142,2011年03月,厦门,100.3,106.6,105.6,100.3,106.6,105.6,100.7,100.0,101.3
143,2011年03月,福州,100.3,104.7,103.7,100.3,104.7,103.7,99.8,102.0,102.0
144,2011年03月,西安,100.9,104.9,103.5,101.0,104.9,103.5,99.9,103.7,102.9
145,2011年03月,长春,100.7,106.7,102.9,100.7,106.7,102.9,100.1,100.9,100.9
146,2011年03月,上海,100.2,101.7,102.0,100.2,101.7,102.0,100.4,100.5,101.4
147,2011年03月,长沙,100.5,108.1,106.6,100.5,108.1,106.6,100.0,101.1,101.1
148,2011年03月,南昌,100.0,108.6,106.8,100.0,108.6,106.8,100.5,104.0,103.4
149,2011年03月,吉林,99.5,107.7,105.2,99.5,107.7,105.2,101.2,105.2,103.4
150,2011年03月,包头,99.8,108.3,104.2,99.7,108.3,104.2,100.3,101.1,101.1
151,2011年03月,呼和浩特,100.3,106.4,103.7,100.3,106.4,103.7,100.4,103.3,102.5
152,2011年03月,岳阳,99.1,106.3,107.2,98.5,106.3,107.2,100.1,111.6,108.4
153,2011年03月,桂林,100.8,107.1,105.8,100.8,107.1,105.8,99.8,102.4,101.2
154,2011年03月,济宁,100.1,104.7,103.3,100.1,104.7,103.3,100.1,107.6,106.4
155,2011年03月,常德,100.1,105.9,104.7,100.1,105.9,104.7,100.5,107.2,105.3
156,2011年03月,大理,100.0,102.2,101.1,100.0,102.2,101.1,100.0,106.0,104.6
157,2011年03月,沈阳,100.5,107.7,104.7,100.5,107.7,104.7,100.5,107.4,104.1
158,2011年03月,平顶山,99.3,106.0,104.4,99.3,106.0,104.4,101.1,105.0,105.0
