id,douban_id,name,director,screenwriter,tag,region,language,release_time,film_length,star,collections,rating_num,five_star,four_star,three_star,two_star,one_star,intro
20,27114417,祖宗十九代,郭德纲,郭德纲,喜剧,中国大陆,汉语普通话,2018-02-16(中国大陆),95分钟,岳云鹏_吴京_吴秀波_井柏然_林志玲_王宝强_大鹏_吴君如_李晨_杜淳_郑恺_欧弟_张国立_贾乃亮_张俪_马苏_萧敬腾_汪东城_于谦_黄磊_吴樾_孙艺洲_贾玲_谢依霖_孟非_郭麒麟_谢楠_王小利_张晨光_刘蓓_孙越,68503,4.2,0.029,0.048,0.248,0.363,0.312,一个在现实中失意的青年作家小贝（岳云鹏 饰），在现实碰壁而低落的夜晚，经历穿越20世纪初拯救陷入帮派麻烦的祖先、清朝和参加科举考试的先祖共事、明朝与祖先共同御敌、晋朝和祖先一起救世济人、上古与女娲和夸父探讨生命的本源和意义的奇幻旅程。一路见证爱情、收获自信和担当，经历人性的转变而自我成长，奇幻之旅实则他的新书发布，这本书献给他未见过的母亲和祖辈们。
21,25882296,狄仁杰之四大天王,徐克,张家鲁,动作,中国大陆 / 香港,汉语普通话,2018-07-27(中国大陆),132分钟,赵又廷_冯绍峰_林更新_阮经天_马思纯_刘嘉玲_盛鉴_杨一威_唐古特·宝日夫_张傲月_孙蛟龙_汪汐潮_铁男_李炳雷_许明虎,179768,6.1,0.049,0.241,0.482,0.182,0.046,狄仁杰（赵又廷 饰）大破神都龙王案后，高宗（盛鉴 饰）御赐神器亢龙锏，遭天后武则天（刘嘉玲 饰）嫉妒，天后为盗取亢龙锏陷害狄仁杰，召集了一帮会方术的“异人组”图谋不轨，并命令尉迟真金（冯绍峰 饰）带队。狄仁杰在医官沙陀忠（林更新 饰）的帮助下成功摆脱“异人组”迫害，并和尉迟真金商议和解，与此同时“异人组”刺客水月（马思纯 饰）却发现都城出现不明势力，在狄仁杰周旋于武则天的埋伏时，大唐陷入更深的危机，“封魔族”携异术登场，一场“屠魔”大战即将爆发……
22,26662193,前任3：再见前任,田羽生,田羽生,喜剧,中国大陆,汉语普通话,2017-12-29(中国大陆),120分钟,,270337,5.5,0.051,0.16,0.406,0.253,0.13,一对好基友孟云（韩庚 饰）和余飞（郑恺 饰）跟女友都因为一点小事宣告分手，并且“拒绝挽回，死不认错”。两人在夜店、派对与交友软件上放飞人生第二春，大肆庆祝“黄金单身期”，从而引发了一系列好笑的故事。孟云与女友同甘共苦却难逃“五年之痒”，余飞与女友则棋逢敌手相爱相杀无绝期。然而现实的“打脸”却来得猝不及防：一对推拉纠结零往来，一对纠缠互怼全交代。两对恋人都将面对最终的选择：是再次相见？还是再也不见？
23,26259634,何以笙箫默,杨文军,黄斌,爱情,中国大陆,汉语普通话,2015-04-30(中国大陆),107分钟,黄晓明_杨幂_佟大为_杨颖_谢依霖_黄子韬_陈冲_何穗_马苏_华少_曾志伟_姚安濂_孙艺洲_孔连顺_沈泰_刘天佐,109851,3.6,0.026,0.035,0.163,0.281,0.494,曾经，何以琛（黄晓明 饰）拒绝了身边络绎不绝的追求者们，偏偏选择了单纯而又天真的赵默笙（杨幂 饰），然而，赵默笙特殊的家庭背景却让这一对恋人最终走上了陌路。一眨眼七年过去，赵默笙带着一个秘密回到了故地，让她没有想到的是，在那里等待着她的，竟然正是分手后再无联系的何以琛。
24,4864908,影,张艺谋,李威,剧情,中国大陆 / 香港,汉语普通话,2018-09-30(中国大陆)_2018-09-06(威尼斯电影节),116分钟,邓超_孙俪_郑恺_王千源_王景春_胡军_关晓彤_吴磊_封柏,324996,7.3,0.139,0.441,0.343,0.061,0.016,纷乱时局，群敌环伺。一个从小被秘密囚禁的替身，不甘只做他人手中的武器；但若想冲破枷锁，找回自我，又必将历经千难万险的考验；替身能否寻回自由，他又该如何选择？
25,26411409,怦然星动,陈国辉,陈国辉,喜剧,中国大陆,汉语普通话,2015-12-03(中国大陆),98分钟,杨幂_李易峰_陈数_王耀庆_张云龙_迪丽热巴_金世佳,55181,4.2,0.079,0.053,0.171,0.285,0.412,电影《怦然星动》由欢瑞世纪和嘉行传媒联合出品，讲述的是明星与经纪人之间的爱情故事。杨幂饰演的田心与李易峰饰演的苏星宇相识于微时，五年后两人已获事业成功，而田心却阴差阳错的成为了苏星宇的经纪人，由此两人展开了一段欲说还休却欲罢不能的爱情纠缠。
26,26425063,无双 無雙,庄文强,庄文强,剧情,中国大陆 / 香港,汉语普通话 / 粤语 / 英语 / 泰语 / 波兰语,2018-09-30(中国大陆)_2018-10-04(香港),130分钟,周润发_郭富城_张静初_冯文娟_廖启智_周家怡_王耀庆_方中信_高捷_邢佳栋_张松枝_张建声_吴嘉龙_孙佳君,430623,8.1,0.261,0.535,0.184,0.017,0.003,《无双》讲述了以代号“画家”（周润发 饰）为首的犯罪团伙，掌握了制造伪钞技术，难辨真伪，并在全球进行交易获取利益，引起警方高度重视。然而“画家”和其他成员的身份一直成谜，警方的破案进度遭受到了前所未有的挑战。在关键时刻，擅长绘画的李问（郭富城 饰）打开了破案的突破口，而“画家”的真实身份却让众人意想不到……
27,26290642,致青春·原来你还在这里,周拓如,周拓如,剧情,中国大陆,汉语普通话,2016-07-08(中国大陆),98分钟,吴亦凡_刘亦菲_金世佳_李沁_李梦_郝劭文_陈燃_乔任梁,91877,4.1,0.053,0.064,0.179,0.28,0.424,外表温柔安静的苏韵锦（刘亦菲 饰）在高中同学程铮（吴亦凡 饰）的深情追求下慢慢爱上了对方，可无奈相爱容易相处难，自小生活环境的差异以及性格的迥异开始成为两人之间的问题，矛盾的不断发现最终还是让感情出现了裂痕最后走到了分手境地。
28,26351812,欧洲攻略,马楚成,小彭,喜剧,中国大陆 / 英国,粤语 / 英语 / 汉语普通话 / 意大利语 / 克林贡语,2018-08-17(中国大陆),100分钟,梁朝伟_吴亦凡_唐嫣_杜鹃_林子祥_华栖龙_雅各布 格拉夫_元秋_刘家勇_罗莽_谢婷婷_周小飞_林德信_陈语安_黎烈弓_杰佳·亚宁,45882,3.6,0.02,0.028,0.147,0.32,0.484,《欧洲攻略》是由马楚成执导，梁朝伟、吴亦凡、唐嫣、杜鹃、林子祥等联袂主演的动作电影。影片主要讲述了特工林在风（梁朝伟 饰）与王小姐（唐嫣 饰）多年来亦敌亦友，相互欣赏又互相为敌。上帝右手在CIA被不明身份的苏菲（杜鹃 饰）偷走后，两人同时受CIA委托展开追寻。原本以为只是⼀场谋略较量，但在他们救下顶级黑客洛奇（吴亦凡 饰）后，却发现这背后还隐藏着一个更大的秘密。
29,26966580,妖铃铃,吴君如,周运海,喜剧,中国大陆,汉语普通话,2017-12-29(中国大陆),88分钟,吴君如_沈腾_岳云鹏_张译_Papi酱_吴镇宇_方中信_焦俊艳_潘斌龙_阿如那_许君聪_李亦航_周冬雨_马思纯_李尚正,90131,4.2,0.017,0.049,0.257,0.388,0.29,无良地产商父子徐大富（沈腾 饰）和徐天宇（岳云鹏 饰）一心想争夺豪华CBD中一幢破旧居民楼“萌贵坊”的产权，但萌贵坊内仍存四户怪咖不愿搬出—神医王保健（张译 饰）和他的儿子鸡丁（李亦航 饰）、民间发明家夫妇李菊花(papi 饰)和金三(潘斌龙 饰)、网红主播阿萍(焦俊艳 饰)、以及过气古惑仔阿仁(方中信 饰)和阿明(吴镇宇饰)。
30,27149818,胖子行动队,包贝尔,张鹏,喜剧,中国大陆,汉语普通话,2018-09-30(中国大陆),108分钟,文章_包贝尔_郭京飞_李成敏_辣目洋子_许君聪_曾一竣_张梦露_戚玉武_仓田保昭_木幡龙_宋佳_文隽,39722,4.1,0.025,0.053,0.243,0.318,0.36,特工“J”（文章 饰）在执行一次A级任务时头部中枪，导致颅内下丘脑受损。养伤期间，J渐渐变成了一个三百斤的大胖子，并患有严重的嗜睡症，但J依然认为自己是一个王牌特工。终于，J再次接到任务，只身前往日本取回机密文件。文件得手后，J却擅自拆开文件决定替组织继续完成隐藏其中的任务，不料却晕倒在居酒屋。医院醒来的J结识了保安郝英俊（包贝尔 饰），郝英俊为了证明自己不是个一事无成的废物毅然决然地加入任务中。这对临时拍档在执行任务的过程中，经历一次又一次令人啼笑皆非、险象环生的危机......
31,6973460,冰封：重生之门,罗永昌,林逢,喜剧,中国大陆,汉语普通话 / 粤语,2014-04-25(中国大陆)_2014-04-17(香港),91分钟(中国大陆),甄子丹_王宝强_黄圣依_任达华_喻亢_林雪_张少华_陈浩民_胡明_王宗尧_庄思敏_胡耀辉_雨侨_陈炜_卢海鹏_黄文慧_陈慧慧_包雨萌,30130,3.7,0.024,0.033,0.161,0.31,0.472,明朝嘉靖末年，锦衣卫贺英（甄子丹 饰）奉命从天竺运回无价之宝“时空金球”，他一心为朝廷却不想遭到了兄弟的突袭。老大元龙（任达华 饰）带着聂虎（喻亢 饰）、萨獒（王宝强 饰）前来捉拿，为的是一宗针对贺英的冤案。兄弟四人搏斗之时突然地动山摇，巨大的雪崩淹没了他们。可是醒来后，贺英发现自己居然已经到了400年后的香港，对现代社会一窍不通的他偶遇了夜店咖小美（黄圣依 饰），闹出了不少笑话，但在小美的帮助下贺英学会了使用高科技产品，逐渐变成了都市型男。正在二人感情升华的时候，“锦衣卫三人组”也穿越到了现代并且继续执行自己的使命，与此同时不明真相的警方也在捉拿贺英这个“特异功能”人士，贺英遭遇到了400年来最大的挑战。
32,26797419,二代妖精之今生有幸,肖洋,肖洋,喜剧,中国大陆,汉语普通话,2017-12-29(中国大陆),110分钟,冯绍峰_刘亦菲_李光洁_郭京飞_焦俊艳_熊乃瑾_王双宝_张子贤_朱捷_陈芋米_范湉湉_隋凯_崔名扬,96144,5.5,0.044,0.147,0.424,0.276,0.109,身负巨债的动物饲养员袁帅（冯绍峰 饰），为了还清百万巨债，他四处与富家女相亲，却误打误撞爱上来人间报恩的狐妖白纤楚（刘亦菲 饰）。妖怪管理局局长云中鹤为阻止人妖相恋，派魔都小分队洪思聪队长捉拿违规狐妖白纤楚，袁帅为了寻回爱人狐妖，勇闯妖界……
