id,douban_id,name,director,screenwriter,tag,region,language,release_time,film_length,star,collections,rating_num,five_star,four_star,three_star,two_star,one_star,intro
553,26729533,洛杉矶捣蛋计划,郑潇,胡杨,喜剧,中国大陆,汉语普通话 / 英语,2016-03-18(中国大陆),106分钟,夏雨_宋祖儿_杨紫_吴大维_江珊_胡兵_隋凯_崔宝印_玛西·格雷_丹尼斯·吴_赵茜_艾米莉·金妮_杰克·艾略特_安吉妮·内加·爱资哈尔_克洛伊·佩兰_戴澴雨_克莱尔·雅各布斯,4831,5.3,0.063,0.112,0.395,0.296,0.135,落魄经纪人黄伯伦（夏雨 饰）来到美国洛杉矶寻找一位失踪艺人（杨紫 饰）不幸滞留在美国，却意外地成为了五名不同肤色的美国萌娃的爸爸。黄伯伦一边要继续寻找失踪艺人，一边还要照顾5个青春期的孩子。在经历一系列波折之后，这个不负责任的“临时奶爸”却逐渐成长为一个真正的好爸爸，得到了他人生的二次成长。
554,26336252,碟中谍6：全面瓦解 Mission: Impossible - Fallout,克里斯托弗·麦奎里,克里斯托弗·麦奎里,动作,美国,英语 / 法语,2018-08-31(中国大陆)_2018-07-27(美国),147分钟,汤姆·克鲁斯_亨利·卡维尔_文·瑞姆斯_西蒙·佩吉_丽贝卡·弗格森_西恩·哈里斯_安吉拉·贝塞特_凡妮莎·柯比_米歇尔·莫纳汉_韦斯·本特利_费雷德里克·施密特_亚历克·鲍德温_杨亮_克里斯托弗·约纳尔_沃尔夫·布利策_拉斐尔·琼勒_安德鲁·卡扎纳夫·平_克里斯多夫·德·舒瓦西_拉裴尔·德普雷_让·巴普蒂斯特·菲永_马克斯·盖勒_奥利维尔·体班德_亚历山大·普尔_阿利克斯·贝纳泽什_乔伊·安沙_维利贝·托皮奇_格雷厄姆·福克斯_卡斯珀·菲利普森_菲恩·乔利_鲁斯·贝恩_奈杰尔·艾伦,317828,8.1,0.292,0.502,0.189,0.014,0.003,伊森·亨特（汤姆·克鲁斯饰）和队友们接到了追回三个大杀伤性核武器的任务。眼见任务马上就能完成，但为了挽救其中一位队友卢瑟（文·瑞姆斯饰）的生命，三个核武器被人趁机带走。中情局负责人斯隆女士（安吉拉·贝塞特饰）调来她手下的得意猛将沃克（亨利·卡维尔饰），让他盯着伊森·亨特完成追回核武器的任务。期间，女特工伊尔莎（丽贝卡·弗格森饰）突然出现，伊森·亨特发现，他要面对的并不只是恐怖分子，还有潜藏在政府部门的内鬼。
555,26860477,新东方神娃,殷晓东,殷晓东,动画,中国大陆,汉语普通话,2016-10-04(中国大陆),80分钟,,299,2.4,0.0,0.0,0.032,0.129,0.839,传说神灯主宰着正义与光明。为了天下和平，天地女神坚守神灯千年。可是魔界力量危及天下。女神创造了龙娃与凤娃两个神娃，共同保卫天下和平。
556,27066362,娘子军传奇,孟奇,万伯翱,剧情,中国大陆,汉语普通话,2017-09-22(中国大陆)_2017-06-20(上海电影节),95分钟,,850,2.2,0.006,0.006,0.006,0.038,0.943,"符红女在《红色娘子军》芭蕾舞剧中饰演一名小女兵, 由于资历尚浅, 演出时总在舞台的一角作陪衬，难以有展示自我的机会。一次意外发生，她从舞台上跌落至台下，昏迷了过去。醒来时, 发现情况变得很糟……符红女数次昏迷, 她像是在梦境中走进了红色娘子军李香瑜的生命里, 进行了一次神交。李香瑜及其战友传奇且不平凡的经历,融汇在符红女一个多小时的记忆里, 短暂且悠长……"
557,2252778,夜魔 The Collector,马库斯·邓斯坦,帕特里克·梅尔顿,惊悚,美国,英语,2009-07-31(美国),90分钟,玛德琳·奇玛_安德里亚·罗斯_乔什·斯图沃特_Juan Fernández_迈克尔·瑞利·伯克_罗伯特·维斯多姆_亚历克斯·费尔德曼_海利·普洛斯,20667,7.2,0.142,0.396,0.383,0.065,0.015,拥有犯罪前科的男子阿金（乔什·斯图尔特 Josh Stewart 饰）靠着一份除虫的工作养家糊口，但是这点稀薄的工资对于巨额放贷以及等着吃饭的老婆孩子来说无异于杯水车薪。万般无奈之下，他打起雇主——珠宝商人迈克·切斯（Michael Reilly Burke 饰）的主意 。适逢切斯一家外出度假，阿金找到当年的好友罗伊（罗伯特·维斯登 Robert Wisdom 饰），他准备从切斯家偷出珠宝并拜托罗伊销赃。
558,11632599,轩辕大帝,李晓军,李晓军,剧情,中国大陆,汉语普通话,2016-04-01(中国大陆),90分钟,于波_周韦彤_班嘉佳_王德顺_苏登扎木苏_李卫_李晨溪_李咨墨_赵南阳,1717,4.7,0.067,0.119,0.236,0.243,0.335,影片以中华人文始祖轩辕黄帝（于波 饰）与元妃嫘祖（周韦彤 饰）的传奇爱情故事为线索，讲述了五千年前有熊氏部落首领姬地率领族人渡黄河、斗猛兽、联合氏族战蚩尤（苏登扎木苏 饰）、最终统一华夏各部落的壮阔史诗。演绎黄帝、炎帝（王顺德 饰）、蚩尤三大部落的兴衰聚散，成功再现了远古华夏民族壮阔感人的发展历程。
559,4126925,圣杯神器：骸骨之城 The Mortal Instruments: City of Bones,哈罗德·兹瓦特,杰西卡·波斯蒂戈,动作,美国 / 德国 / 加拿大,英语,2014-01-03(中国大陆)_2013-08-21(美国),130分钟,莉莉·柯林斯_杰米·坎贝尔·鲍尔_凯文·席格斯_杰迈玛·韦斯特_罗伯特·席安_罗伯特·梅耶_凯文·杜兰_高以翔_琳娜·海蒂_哈里·范·戈库姆_希·庞德_杰瑞德·哈里斯_乔纳森·莱斯·梅耶斯_艾丹·特纳_斯蒂芬·R·哈特_查德·康奈尔_克里斯·拉茨_埃利亚斯·穆巴里克,19814,5.4,0.046,0.119,0.429,0.308,0.097,克莱瑞（莉莉·柯林斯 Lily Collins 饰）打记事起就一直生活在布鲁克林和单亲妈妈乔瑟琳（琳娜·海蒂 Lena Headey 饰）一起过着简单平静的生活。然而，她却突然看到了一些不可思议的惊人怪事，而母亲也在一次暴力冲突后消失不见。就在她和最好的朋友赛蒙（罗伯特·席安 Robert Sheehan 饰）寻找她母亲的过程中，克莱瑞开始发现了隐藏在暗影猎手世界中的黑暗秘密和更加邪恶的危险力量。几个世纪以来，具有一半天使血统的暗影猎手一直在默默保护人类免受邪恶力量的侵害。
560,25868954,黄片的危害是什么？ Porn: What's the Harm?,Kristin Hadland,Jameela Jamil,纪录片,英国,英语,2014-04-10(英国),58分钟,,237,6.1,0.087,0.225,0.413,0.225,0.051,"Jameela Jamil finds out if it's true that children are being exposed to more pornography than ever before - and what the effects of that might be. With smartphones and tablets making it easier than ever to get hold of the most explicit images, there are fears that each generation is seeing porn earlier than the one before, so Jameela meets teenagers across the country to hear f..."
561,20266753,警察故事2013,丁晟,丁晟,剧情,中国大陆 / 香港,汉语普通话,2013-12-24(中国大陆),108分钟,成龙_刘烨_景甜_殷桃_那威_刘仪伟_柳海龙_周晓鸥_于荣光_吴樾_刘佩琦_古力娜扎,82433,5.7,0.051,0.159,0.479,0.234,0.078,夜幕降临，资深刑警钟文（成龙 饰）接到离家出走许久的女儿苗苗（景甜 饰）的电话，他暗怀喜悦准时来到了正进行三周年店庆的武吧。武吧老板武江（刘烨 饰）热情地接待了他，但是酒吧内光怪陆离和乌烟瘴气的景象让钟文心生不快。稍后，苗苗抵达，眼见得纹身染发并且桀骜不驯的女儿，钟文尽 量和颜悦色与女儿沟通，可当得知武江是女儿的男朋友时还是发了脾气。就在此时，一名民工为索要工钱带着炸弹入场，钟文出手不凡解决争端，可没过多久却被人用棒球棍打晕。
562,20438744,交换旅行,杨幂,杨幂,剧情,中国大陆,汉语普通话,2012-07,11分钟,,507,5.0,0.228,0.069,0.111,0.174,0.419,小幂（杨幂 饰）是在大城市工作和生活的都市白领，每天都过着朝九晚五的枯燥生活。来到公司，等待着她的是无穷无尽的任务，回到家后，等着她的还是没完没了的工作，这令小幂感到十分窒息，产生了想要逃离的冲动。
563,30207949,黄飞鸿之南北英雄,林珍钊,牛新瑶,动作,中国大陆,汉语普通话,2018-05-18(中国大陆),104分钟,赵文卓_唐文龙_韦娜_李璐兵_陈辰_李炳渊_魏小欢_许政国,4862,4.5,0.021,0.04,0.328,0.387,0.225,晚清时期，外来入侵，国家内忧外患，民不聊生。黄飞鸿（赵文卓 饰）面对列强的压迫，依旧弘扬中国文化，保护民族信仰，与外来者的打击坚持抗争。在这样一个社会动荡的时期，北拳宗师吴镇南（唐文龙 饰），初入佛山北拳南传，却屡屡碰壁，面对黄飞鸿的盛情款待，吴镇南却不愿接受他的帮助。就在这个时候，洋人趁火打劫，把药品研究用在了吴镇南身上，导致两人矛盾再度激化，面对洋人的利用和威胁，吴镇南不得不和黄飞鸿展开激烈的一战。被洋人雇佣来协助研究项目的女孩路小月（魏小欢 饰）在秘密研究项目中也慢慢了解到洋人的残暴实验，渐渐地看清了洋人计划，危险一触即发……
564,10829449,街头之王,岳松,钟雷,剧情,中国大陆,英语 / 汉语普通话,2012-07-27(中国大陆),87分钟,岳松_李宇菲_康恩_杨建平_杨骏_李长海,1565,4.8,0.059,0.093,0.281,0.335,0.232,《街头之王》是中国大陆首部纯街头格斗电影，同时也是一部独立电影！
565,26754643,少年,杨树鹏,卢文莹,悬疑,中国大陆,汉语普通话,2016-12-16(中国大陆),111分钟,欧豪_张译_余男_郭晓东_刘天佐_郭姝彤_周一围_王烈_陈梓童_刘陆_辛芷蕾_曹可凡,14228,5.7,0.036,0.158,0.489,0.266,0.052,电影讲述的是一个经历残酷青春的少年为爱复仇不惜付出生命的故事。
566,25869868,女生宿舍,梁婷,梁婷,悬疑,中国大陆,汉语普通话,2014-09-12(中国大陆),103分钟,温心_成毅_尹正_赵多娜_赵美彤_王千一_杜双宇_景岗山,6069,3.9,0.035,0.036,0.195,0.323,0.411,20世纪30年代，华南医科大学迎来了新的学生。出身优渥的好姐妹夏梦芊（温心 饰）和方慧茹（赵多娜 饰）同被分到传说中闹鬼并死过人而被封闭起来的宿舍415，与她们一同入住的还有神神叨叨勤学卦术的汪子乔（赵美彤 饰）和高贵冷艳自视甚高的何秋岚（王千一 饰）。校园恐怖传说，配合浪漫美好的青涩恋情，让少女们的校园生活充满了别样的乐趣。然而一切急转直下，梦芊无意间撞破秋岚的风流韵事，而后者因匿名举报信跳楼自杀。未过多久，子乔也死于非命。
567,5053937,最后的幸存者 The Last Survivors,Thomas S. Hammock,Jacob Forman,动作,美国,英语,2014-06-12(洛杉矶电影节),95分钟,海莉·露·理查森_波波·斯图尔特_麦克斯·查尔斯_妮可·福克斯_迈克·韦尔奇_强·格瑞斯_迈克尔·麦斯_丽纳·欧文_Leo Lee_巴巴拉·克兰普顿_Michael McCartney_杰奎琳·爱默森_Casey Adams_Sheridan Crist_Neal Polister,406,5.1,0.041,0.119,0.338,0.345,0.157,A teenage girl fights to protect the last working well in a drought-stricken valley from a greedy water baron.
568,4603376,梦回金沙城,陈德明,苏晓虹,剧情,中国大陆,汉语普通话,2010-07-10(中国大陆),85分钟,詹佳_沈达威_程玉珠_张欣_谢天添_姜玉玲_王肖兵_胡平智_吴磊_徐刚,794,4.7,0.063,0.079,0.276,0.302,0.28,小龙是个凡是以自我为中心的孩子，平时对他人缺乏爱心、没有责任感。在一个月黑风高的深夜，一只小狗带他穿越时光隧道，回到了3500年前的金沙国。此时的金沙国被一股来自森林的异常能量所控制，摄将军决定吸取正能量抵毁异能量，不料事与愿违，在吸附大量能量后摄将军控制不了强大的能量体，一旦能量澎爆，金沙国将不堪设想。小龙被金沙国瑰丽的景色所吸引，他并不知道即将面临的灾难。从花儿公主和神象口中得知自己所佩戴的玉璋能解救金沙国危难，他毫不犹豫地摘了下来。最终，大家用爱拯救了岌岌可危的金沙国。回到当代后，人们发现小龙变了......
